experiment_name,prompt_name,template_id,coding_model,universal_model,ablation_type,healthcheck_pass,success,exit_code,docker_healthy,duration_seconds,timestamp,template_failed,total_input_tokens,total_output_tokens,total_llm_calls,total_llm_time,source_dir
gym-crm_trpc-agent_claude_gemini,gym-crm,trpc-agent,claude,gemini,baseline,true,false,0,true,917.87439,2025-08-19T14:34:59.690075,true,2875168,110035,157,1538.0291316509247,dataset/baseline
city-trip-advisor_trpc-agent_claude_gemini,city-trip-advisor,trpc-agent,claude,gemini,baseline,true,true,0,true,272.610161,2025-08-19T13:21:59.705306,false,274009,31538,68,442.6652145385742,dataset/baseline
engineering-job-board_trpc-agent_claude_gemini,engineering-job-board,trpc-agent,claude,gemini,baseline,true,true,0,true,309.945572,2025-08-19T14:50:25.360533,false,335856,34392,65,481.4470076560974,dataset/baseline
todo-list-with-mood_trpc-agent_claude_gemini,todo-list-with-mood,trpc-agent,claude,gemini,baseline,true,true,0,true,284.495167,2025-08-19T14:27:07.352770,false,417017,50060,95,727.3413100242615,dataset/baseline
wellness-score-tracker_trpc-agent_claude_gemini,wellness-score-tracker,trpc-agent,claude,gemini,baseline,true,true,0,true,282.561202,2025-08-19T13:29:41.720625,false,473404,43906,81,553.6484246253967,dataset/baseline
pantry-inventory-app_trpc-agent_claude_gemini,pantry-inventory-app,trpc-agent,claude,gemini,baseline,true,true,0,true,418.853796,2025-08-19T13:38:22.035061,false,625468,46177,92,651.8624894618988,dataset/baseline
beer-counter-app_trpc-agent_claude_gemini,beer-counter-app,trpc-agent,claude,gemini,baseline,false,false,124,false,1500.044691,2025-08-19T14:20:15.352125,false,3441643,198350,483,3005.4428510665894,dataset/baseline
currency-converter_trpc-agent_claude_gemini,currency-converter,trpc-agent,claude,gemini,baseline,true,true,0,true,254.206611,2025-08-19T13:21:41.294475,false,201789,18587,47,256.9388484954834,dataset/baseline
pastel-blue-notes-app_trpc-agent_claude_gemini,pastel-blue-notes-app,trpc-agent,claude,gemini,baseline,true,true,0,true,482.051672,2025-08-19T13:54:03.375903,false,1075149,60844,128,875.8762612342834,dataset/baseline
plumbing-business-landing-page_trpc-agent_claude_gemini,plumbing-business-landing-page,trpc-agent,claude,gemini,baseline,true,true,0,true,340.8771,2025-08-19T14:05:15.142351,false,486582,44267,87,613.4211118221283,dataset/baseline
