run_name,prompt_name,template_id,coding_model,universal_model,success,docker_healthy,duration_seconds,total_tokens,total_model_calls,exit_code,timestamp
gym-crm_trpc-agent_claude_gemini,gym-crm,trpc_agent,claude,gemini,True,True,917.87439,2985203,157,0,2025-08-19T14:34:59.690075
city-trip-advisor_trpc-agent_claude_gemini,city-trip-advisor,trpc_agent,claude,gemini,True,True,272.610161,305547,68,0,2025-08-19T13:21:59.705306
daily-pattern-visualizer_nicegui-agent_claude_gemini,daily-pattern-visualizer,nicegui_agent,claude,gemini,False,False,1500.03777,7870484,252,124,2025-08-19T13:54:41.760473
engineering-job-board_trpc-agent_claude_gemini,engineering-job-board,trpc_agent,claude,gemini,True,True,309.945572,370248,65,0,2025-08-19T14:50:25.360533
todo-list-with-mood_trpc-agent_claude_gemini,todo-list-with-mood,trpc_agent,claude,gemini,True,True,284.495167,467077,95,0,2025-08-19T14:27:07.352770
car-maintenance-dashboard_nicegui-agent_claude_gemini,car-maintenance-dashboard,nicegui_agent,claude,gemini,True,True,1081.058947,4604496,188,0,2025-08-19T13:14:14.091000
wellness-score-tracker_trpc-agent_claude_gemini,wellness-score-tracker,trpc_agent,claude,gemini,True,True,282.561202,517310,81,0,2025-08-19T13:29:41.720625
basic-inventory-system_nicegui-agent_claude_gemini,basic-inventory-system,nicegui_agent,claude,gemini,True,True,951.74429,3730656,135,0,2025-08-19T13:56:10.009873
indonesian-inventory-app_nicegui-agent_claude_gemini,indonesian-inventory-app,nicegui_agent,claude,gemini,False,False,1500.07138,10235113,222,124,2025-08-19T15:15:25.434701
pantry-inventory-app_trpc-agent_claude_gemini,pantry-inventory-app,trpc_agent,claude,gemini,True,True,418.853796,671645,92,0,2025-08-19T13:38:22.035061
engineering-job-board_nicegui-agent_claude_gemini,engineering-job-board,nicegui_agent,claude,gemini,True,True,1003.224455,4215995,175,0,2025-08-19T15:04:15.534215
beer-counter-app_trpc-agent_claude_gemini,beer-counter-app,trpc_agent,claude,gemini,False,False,1500.044691,3639993,483,124,2025-08-19T14:20:15.352125
currency-converter_trpc-agent_claude_gemini,currency-converter,trpc_agent,claude,gemini,True,True,254.206611,220376,47,0,2025-08-19T13:21:41.294475
habit-tracker-app_nicegui-agent_claude_gemini,habit-tracker-app,nicegui_agent,claude,gemini,True,True,735.849299,2129880,114,0,2025-08-19T15:06:30.724186
pastel-blue-notes-app_trpc-agent_claude_gemini,pastel-blue-notes-app,trpc_agent,claude,gemini,True,True,482.051672,1135993,128,0,2025-08-19T13:54:03.375903
plumbing-business-landing-page_trpc-agent_claude_gemini,plumbing-business-landing-page,trpc_agent,claude,gemini,True,True,340.8771,530849,87,0,2025-08-19T14:05:15.142351
recipe-sharing-platform_nicegui-agent_claude_gemini,recipe-sharing-platform,nicegui_agent,claude,gemini,False,False,1500.071014,8195639,222,124,2025-08-19T15:28:09.267658
tennis-enthusiast-platform_nicegui-agent_claude_gemini,tennis-enthusiast-platform,nicegui_agent,claude,gemini,False,False,1500.045303,10596405,243,124,2025-08-19T15:09:37.145441
event-tracker_trpc-agent_claude_gemini,event-tracker,trpc_agent,claude,gemini,True,True,173.653786,115399,45,0,2025-08-19T13:28:33.489342
kanji-flashcards_nicegui-agent_claude_gemini,kanji-flashcards,nicegui_agent,claude,gemini,False,False,1500.022788,9134068,216,124,2025-08-19T14:28:39.282677
car-maintenance-dashboard_trpc-agent_claude_gemini,car-maintenance-dashboard,trpc_agent,claude,gemini,True,True,479.827927,1077073,121,0,2025-08-19T13:25:26.919861
cat-conspiracy-tracker_trpc-agent_claude_gemini,cat-conspiracy-tracker,trpc_agent,claude,gemini,True,True,383.584382,691911,112,0,2025-08-19T15:13:07.473768
pomodoro-study-timer_trpc-agent_claude_gemini,pomodoro-study-timer,trpc_agent,claude,gemini,True,True,243.416356,135619,43,0,2025-08-19T15:08:18.953326
roommate-chore-wheel_nicegui-agent_claude_gemini,roommate-chore-wheel,nicegui_agent,claude,gemini,True,True,1059.599257,6675849,185,0,2025-08-19T13:13:52.626799
cat-conspiracy-tracker_nicegui-agent_claude_gemini,cat-conspiracy-tracker,nicegui_agent,claude,gemini,True,True,1058.445889,5535899,178,0,2025-08-19T15:25:57.401034
plumbing-business-landing-page_nicegui-agent_claude_gemini,plumbing-business-landing-page,nicegui_agent,claude,gemini,True,True,876.092591,3730389,169,0,2025-08-19T14:16:48.604675
personal-expense-tracker_trpc-agent_claude_gemini,personal-expense-tracker,trpc_agent,claude,gemini,True,True,507.830708,839600,97,0,2025-08-19T14:22:22.852726
pantry-inventory-app_nicegui-agent_claude_gemini,pantry-inventory-app,nicegui_agent,claude,gemini,False,False,1500.041461,7283985,184,124,2025-08-19T13:59:34.259873
daily-pattern-visualizer_trpc-agent_claude_gemini,daily-pattern-visualizer,trpc_agent,claude,gemini,True,True,315.172589,425658,74,0,2025-08-19T13:34:34.215281
currency-converter_nicegui-agent_claude_gemini,currency-converter,nicegui_agent,claude,gemini,True,True,836.088713,2964821,141,0,2025-08-19T13:31:23.179161
kanji-flashcards_trpc-agent_claude_gemini,kanji-flashcards,trpc_agent,claude,gemini,True,True,632.923365,1593520,114,0,2025-08-19T14:13:55.019898
birthday-wish-app_nicegui-agent_claude_gemini,birthday-wish-app,nicegui_agent,claude,gemini,True,True,189.467694,94920,22,0,2025-08-19T14:38:09.160503
indonesian-inventory-app_trpc-agent_claude_gemini,indonesian-inventory-app,trpc_agent,claude,gemini,True,True,384.23117,531975,74,0,2025-08-19T14:54:14.870195
pastel-blue-notes-app_nicegui-agent_claude_gemini,pastel-blue-notes-app,nicegui_agent,claude,gemini,True,True,553.675048,1289036,70,0,2025-08-19T13:55:15.305272
teacher-question-bank_nicegui-agent_claude_gemini,teacher-question-bank,nicegui_agent,claude,gemini,False,False,1500.042701,9278983,185,124,2025-08-19T14:19:41.811847
book-library-manager_nicegui-agent_claude_gemini,book-library-manager,nicegui_agent,claude,gemini,True,True,1092.243732,3474149,144,0,2025-08-19T13:40:11.950845
bookmark-management-app_trpc-agent_claude_gemini,bookmark-management-app,trpc_agent,claude,gemini,True,True,431.733602,851241,117,0,2025-08-19T14:12:26.878481
event-tracker_nicegui-agent_claude_gemini,event-tracker,nicegui_agent,claude,gemini,True,True,704.772165,2465103,150,0,2025-08-19T13:40:18.263563
personal-expense-tracker_nicegui-agent_claude_gemini,personal-expense-tracker,nicegui_agent,claude,gemini,False,False,1500.043347,8582836,176,124,2025-08-19T14:41:48.650502
city-trip-advisor_nicegui-agent_claude_gemini,city-trip-advisor,nicegui_agent,claude,gemini,True,True,788.169365,1657882,82,0,2025-08-19T13:09:21.199200
roommate-chore-wheel_trpc-agent_claude_gemini,roommate-chore-wheel,trpc_agent,claude,gemini,True,True,711.94224,1831760,137,0,2025-08-19T13:29:19.040226
plant-care-tracker_trpc-agent_claude_gemini,plant-care-tracker,trpc_agent,claude,gemini,True,True,452.072674,731517,78,0,2025-08-19T13:24:59.156867
recipe-sharing-platform_trpc-agent_claude_gemini,recipe-sharing-platform,trpc_agent,claude,gemini,True,True,487.738953,1203131,135,0,2025-08-19T15:06:43.886839
pomodoro-study-timer_nicegui-agent_claude_gemini,pomodoro-study-timer,nicegui_agent,claude,gemini,True,True,1022.032813,6414405,222,0,2025-08-19T15:23:32.759710
pc-gaming-niche-site_trpc-agent_claude_gemini,pc-gaming-niche-site,trpc_agent,claude,gemini,True,True,430.169866,641759,74,0,2025-08-19T14:44:37.098202
wellness-score-tracker_nicegui-agent_claude_gemini,wellness-score-tracker,nicegui_agent,claude,gemini,True,True,630.215061,2414181,124,0,2025-08-19T13:35:57.137438
teacher-question-bank_trpc-agent_claude_gemini,teacher-question-bank,trpc_agent,claude,gemini,True,True,575.879431,1452045,146,0,2025-08-19T14:03:39.257345
habit-tracker-app_trpc-agent_claude_gemini,habit-tracker-app,trpc_agent,claude,gemini,True,True,388.728406,612333,90,0,2025-08-19T14:58:36.145710
bookmark-management-app_nicegui-agent_claude_gemini,bookmark-management-app,nicegui_agent,claude,gemini,False,False,1500.043216,9741910,214,124,2025-08-19T14:37:26.924749
home-lab-inventory_nicegui-agent_claude_gemini,home-lab-inventory,nicegui_agent,claude,gemini,False,False,1500.056549,10009121,240,124,2025-08-19T14:03:22.093198
todo-list-with-mood_nicegui-agent_claude_gemini,todo-list-with-mood,nicegui_agent,claude,gemini,False,False,1500.057393,11246719,270,124,2025-08-19T14:52:07.411954
